epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.617,2.97664,15.0351,2.2327,0,0,0,0,2.87224,13.0774,2.65064,1.875e-05,1.875e-05,1.875e-05
2,912.069,2.83516,9.09897,2.10829,0,0,0,0,2.57782,16.5096,2.42188,3.50875e-05,3.50875e-05,3.50875e-05
3,1262.75,2.44025,6.75426,1.87002,0,0,0,0,2.2504,28.9545,2.16059,4.1525e-05,4.1525e-05,4.1525e-05
4,1616.69,2.02192,5.55223,1.54131,0,0,0,0,1.9484,29.8003,1.86781,3.80625e-05,3.80625e-05,3.80625e-05
5,2063.6,2.06787,4.98107,1.65129,0,0,0,0,1.89643,22.3448,1.7747,2.47e-05,2.47e-05,2.47e-05
