epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.145,1.92692,3.97424,1.69558,0.01191,0.29136,0.01387,0.00569,1.48897,4.07112,1.75173,7.777e-05,7.777e-05,7.777e-05
2,239.903,1.72331,3.79513,1.53204,0.034,0.56749,0.06637,0.03458,1.32486,3.86086,1.4712,0.000111656,0.000111656,0.000111656
3,322.887,1.56589,3.54781,1.40951,0.03079,0.62915,0.1024,0.05429,1.35144,3.81333,1.41275,8.68802e-05,8.68802e-05,8.68802e-05
